x, f_1, f_2
2.072072072072072224e+00,-1.018698264187481550e+00,5.674080239720434848e-01
2.082082082082082231e+00,-1.010471997375999686e+00,5.704926930045092215e-01
2.092092092092092237e+00,-1.001987823273933431e+00,5.735792163682543743e-01
2.102102102102102243e+00,-9.932517589260528856e-01,5.766675862975489952e-01
2.112112112112112250e+00,-9.842699073323846193e-01,5.797577950960212112e-01
2.122122122122122256e+00,-9.750484547415152470e-01,5.828498351357122020e-01
2.132132132132132263e+00,-9.655936679120590282e-01,5.859436988561480542e-01
2.142142142142142269e+00,-9.559118913434139220e-01,5.890393787634287115e-01
2.152152152152152276e+00,-9.460095444769391904e-01,5.921368674293330248e-01
2.162162162162162282e+00,-9.358931188687064084e-01,5.952361574904405650e-01
2.172172172172172289e+00,-9.255691753349762907e-01,5.983372416472686472e-01
2.182182182182182295e+00,-9.150443410715770609e-01,6.014401126634247863e-01
2.192192192192192302e+00,-9.043253067483598695e-01,6.045447633647750285e-01
2.202202202202202308e+00,-8.934188235799218614e-01,6.076511866386257177e-01
2.212212212212212314e+00,-8.823317003737964903e-01,6.107593754329206925e-01
2.222222222222222321e+00,-8.710708005573182255e-01,6.138693227554520293e-01
2.232232232232232327e+00,-8.596430391843774554e-01,6.169810216730849950e-01
2.242242242242242334e+00,-8.480553799232894985e-01,6.200944653109961013e-01
2.252252252252252340e+00,-8.363148320270095137e-01,6.232096468519243704e-01
2.262262262262262347e+00,-8.244284472869325420e-01,6.263265595354357007e-01
2.272272272272272353e+00,-8.124033169715203506e-01,6.294451966571998902e-01
2.282282282282282360e+00,-8.002465687510076364e-01,6.325655515682794272e-01
2.292292292292292366e+00,-7.879653636094456903e-01,6.356876176744313822e-01
2.302302302302302373e+00,-7.755668927453380768e-01,6.388113884354201799e-01
2.312312312312312379e+00,-7.630583744621398656e-01,6.419368573643421394e-01
2.322322322322322385e+00,-7.504470510498864044e-01,6.450640180269622270e-01
2.332332332332332392e+00,-7.377401856592243901e-01,6.481928640410602460e-01
2.342342342342342398e+00,-7.249450591691199985e-01,6.513233890757897937e-01
2.352352352352352405e+00,-7.120689670495226054e-01,6.544555868510461005e-01
2.362362362362362411e+00,-6.991192162202635174e-01,6.575894511368456374e-01
2.372372372372372418e+00,-6.861031219074695819e-01,6.607249757527148271e-01
2.382382382382382424e+00,-6.730280044987726473e-01,6.638621545670899682e-01
2.392392392392392431e+00,-6.599011863985992932e-01,6.670009814967254869e-01
2.402402402402402437e+00,-6.467299888848185851e-01,6.701414505061132898e-01
2.412412412412412444e+00,-6.335217289680316055e-01,6.732835556069102223e-01
2.422422422422422450e+00,-6.202837162547806260e-01,6.764272908573752963e-01
2.432432432432432456e+00,-6.070232498159562340e-01,6.795726503618162440e-01
2.442442442442442463e+00,-5.937476150616769477e-01,6.827196282700443986e-01
2.452452452452452469e+00,-5.804640806239154127e-01,6.858682187768380123e-01
2.462462462462462476e+00,-5.671798952481386102e-01,6.890184161214151226e-01
2.472472472472472482e+00,-5.539022846952278423e-01,6.921702145869134126e-01
2.482482482482482489e+00,-5.406384486549413726e-01,6.953236084998795086e-01
2.492492492492492495e+00,-5.273955576721724992e-01,6.984785922297648275e-01
2.502502502502502502e+00,-5.141807500872570547e-01,7.016351601884306399e-01
2.512512512512512508e+00,-5.010011289915727861e-01,7.047933068296604597e-01
2.522522522522522515e+00,-4.878637591996714540e-01,7.079530266486786516e-01
2.532532532532532521e+00,-4.747756642391726678e-01,7.111143141816789193e-01
2.542542542542542527e+00,-4.617438233596464214e-01,7.142771640053574567e-01
2.552552552552552534e+00,-4.487751685616986896e-01,7.174415707364549810e-01
